GroupID	Protein
1	XP_014660086.1
1	XP_014660085.1
2	XP_004962130.1
3	XP_004965582.1
4	XP_004986000.1
5	XP_004966311.1
6	XP_004978060.1
7	XP_004965045.1
8	XP_012701072.1
9	XP_004964445.2
10	XP_004974363.1
11	XP_004961008.1
12	XP_004976150.1
13	XP_004967945.1
14	XP_004967462.1
15	XP_012700444.1
15	XP_004960295.1
16	XP_004969428.1
17	XP_004985047.1
18	XP_004961899.1
19	XP_004957391.1
20	XP_004960328.1
21	XP_004951944.1
22	XP_004984929.1
23	XP_004961640.1
24	XP_004955488.1
25	XP_004969341.1
26	XP_004972962.1
26	XP_004972961.1
27	XP_004974995.1
28	XP_004973820.1
29	XP_004982696.1
30	XP_014660311.1
31	XP_004958636.1
32	XP_004973824.2
33	XP_004981913.1
33	XP_004955415.1
34	XP_004974284.1
34	XP_004966271.1
35	XP_014660927.1
35	XP_012702578.1
35	XP_012702579.1
36	XP_004960039.1
36	XP_004960037.1
37	XP_004973641.1
38	XP_004961384.1
39	XP_004960374.1
40	XP_004952623.1
41	XP_014660700.1
42	XP_004977135.1
43	XP_004969533.1
44	XP_004969351.1
45	XP_004972574.1
46	XP_004980978.1
47	XP_004981385.1
47	XP_012704136.1
48	XP_004974938.1
48	XP_004974939.1
49	XP_004985987.1
49	XP_004984351.1
50	XP_012702236.1
50	XP_012700709.1
51	XP_012701829.1
52	XP_004967946.1
53	XP_012699246.1
54	XP_004953164.1
55	XP_004972780.1
56	XP_004976002.2
57	XP_004953194.1
58	XP_004980276.1
59	XP_012703938.1
59	XP_012703940.1
60	XP_004972613.1
60	XP_014660823.1
61	XP_012703954.1
61	XP_004979903.1
62	XP_004982664.1
63	XP_012700052.1
64	XP_004969129.1
65	XP_004971451.1
66	XP_004982019.1
67	XP_004955154.1
68	XP_004976183.1
69	XP_012703817.2
70	XP_004983576.1
71	XP_004984484.1
71	XP_004984481.1
72	XP_004964672.1
72	XP_004969050.1
73	XP_012703344.1
73	XP_014661048.1
73	XP_014661049.1
74	XP_014661363.1
75	XP_004962540.1
76	XP_004960816.1
77	XP_004961409.1
78	XP_004986419.1
79	XP_004959793.1
80	XP_004969211.1
81	XP_004974671.1
82	XP_012699418.1
82	XP_004955774.1
83	XP_012701845.1
83	XP_012701846.1
83	XP_012701844.1
84	XP_004960713.1
84	XP_004960715.1
85	XP_004976313.1
85	XP_004976314.1
85	XP_012703240.1
86	XP_012701695.1
86	XP_012701694.1
87	XP_004953380.1
87	NP_001267769.1
88	XP_004961485.1
89	XP_004952872.1
90	XP_004986299.1
91	XP_004965102.1
92	XP_004982037.1
93	XP_004976559.1
94	XP_004953524.1
95	XP_004956074.1
96	XP_004957338.1
97	XP_004952204.1
98	XP_004975179.1
99	XP_004953886.1
100	XP_004981966.1
101	XP_004961856.1
102	XP_004962759.1
103	XP_014660846.1
104	XP_004984389.1
105	XP_004972451.1
106	XP_004957914.1
107	XP_004960751.1
108	XP_004951979.2
109	XP_014660542.1
110	XP_004967384.1
111	XP_004966376.1
112	XP_004966467.1
113	XP_004976769.1
114	XP_004956030.1
115	XP_004953695.1
116	XP_004952974.1
117	YP_008815746.1
118	XP_012699882.1
119	XP_012703833.1
120	XP_012703729.1
121	XP_004981931.1
122	XP_004974216.1
123	XP_004952631.1
124	XP_004970894.1
125	XP_004965253.1
126	XP_004985634.1
127	XP_004961448.1
128	XP_004969912.1
129	XP_004973733.1
130	XP_004975868.1
131	XP_004968972.1
132	XP_004965544.1
133	XP_004981704.1
134	XP_004970602.1
135	XP_004983571.1
136	XP_012701475.1
137	XP_004961300.1
138	YP_008815758.1
139	XP_004958515.1
140	XP_004984246.1
141	XP_004958419.1
142	XP_004956250.1
143	XP_004974230.1
144	XP_004964466.1
145	XP_004962569.1
146	XP_004962942.1
147	XP_004969988.1
148	XP_004955230.1
149	XP_004960755.1
150	XP_004969498.2
151	XP_004958332.1
152	XP_004951175.1
153	XP_004960532.1
154	XP_004982996.1
155	XP_004956559.1
156	NP_001267758.1
157	XP_004975840.1
158	XP_004969083.1
158	XP_004961193.1
159	XP_004957570.1
160	XP_004958023.1
161	XP_004971375.1
162	XP_004966045.1
163	XP_004951452.1
164	XP_004982423.1
165	XP_004985157.1
166	XP_004953842.1
167	XP_012702632.1
167	XP_012702631.1
168	XP_004983244.1
169	XP_014660836.1
170	XP_004955321.1
171	XP_004964912.1
